,age,job,marital,education,default,housing,loan,contact,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,subscription,season
67,29,7,0,3,0,0,1,1,1,361,3,999,0,1,1.4,94.465,-41.8,4.865,0,2
68,32,1,1,2,0,0,0,0,1,1091,2,5,1,2,-0.1,93.2,-42.0,4.191,1,0
69,37,6,1,6,0,0,0,0,0,395,1,999,1,0,-1.8,92.893,-46.2,1.313,0,1
72,28,0,2,3,0,1,0,0,3,59,3,999,0,1,-1.8,92.893,-46.2,1.291,0,1
73,34,4,1,6,0,1,0,0,4,77,4,999,0,1,-1.8,92.893,-46.2,1.281,0,1
74,31,9,2,3,0,1,1,0,3,768,1,999,0,1,1.4,93.444,-36.1,4.966,1,2
75,31,0,1,6,0,1,0,0,2,96,5,999,0,1,1.4,93.444,-36.1,4.962,0,2
76,31,0,2,6,0,1,0,1,4,357,2,999,0,1,1.4,94.465,-41.8,4.864,0,2
77,38,6,2,6,0,0,0,1,2,459,2,999,0,1,1.1,93.994,-36.4,4.855,0,1
78,33,10,1,2,0,0,0,1,0,11,6,999,0,1,1.4,94.465,-41.8,4.959,0,2
79,32,9,2,6,0,0,0,0,3,264,12,999,0,1,1.4,93.444,-36.1,4.966,0,2
81,41,0,0,3,0,1,0,1,3,204,2,999,0,1,1.4,94.465,-41.8,4.961,0,2
83,57,5,1,6,0,1,0,0,2,374,1,2,1,2,-1.8,93.075,-47.1,1.365,0,1
84,38,2,0,6,0,1,0,0,2,252,1,999,0,1,-0.1,93.2,-42.0,4.076,0,0
85,46,0,1,6,0,1,0,1,3,158,1,999,0,1,1.1,93.994,-36.4,4.857,0,1
86,37,10,2,6,0,1,1,0,3,95,1,999,0,1,-0.1,93.2,-42.0,4.153,0,0
88,45,0,2,6,0,0,0,0,2,505,1,999,0,1,1.4,93.444,-36.1,4.964,1,2
89,36,1,1,1,0,1,0,1,4,16,1,999,0,1,1.4,93.918,-42.7,4.962,0,2
90,40,10,2,3,0,1,0,0,1,300,5,999,0,1,1.4,93.918,-42.7,4.96,0,2
91,38,1,1,2,0,0,0,0,3,180,2,999,1,0,-0.1,93.2,-42.0,4.153,0,0
93,25,6,1,6,0,1,0,1,0,274,2,999,0,1,1.1,93.994,-36.4,4.857,0,1
94,30,1,2,1,0,1,0,1,3,135,5,999,0,1,1.4,93.918,-42.7,4.961,0,2
95,43,4,1,5,0,0,0,0,3,257,2,999,0,1,-0.1,93.2,-42.0,4.153,0,0
97,31,9,1,5,0,1,0,1,4,157,6,999,0,1,1.1,93.994,-36.4,4.856,0,1
98,53,4,1,6,0,0,0,0,3,477,2,999,0,1,1.4,93.918,-42.7,4.961,0,2
102,37,7,1,3,0,1,1,0,2,436,3,999,0,1,-1.8,92.893,-46.2,1.266,0,1
104,33,7,2,2,0,1,0,0,2,483,2,999,0,1,-1.8,93.075,-47.1,1.41,0,1
106,44,2,1,5,0,0,0,1,1,259,1,999,0,1,1.1,93.994,-36.4,4.858,0,1
107,38,1,1,1,0,1,0,1,2,389,2,999,0,1,1.4,93.918,-42.7,4.966,0,2
108,34,1,1,2,0,0,0,1,3,7,1,999,0,1,-1.7,94.055,-39.8,0.702,0,2
109,47,4,1,6,0,1,0,0,4,123,1,999,0,1,-2.9,92.469,-33.6,1.029,0,2
110,59,0,1,6,0,1,1,0,4,92,1,999,0,1,-2.9,92.469,-33.6,1.085,0,2
112,31,1,1,1,0,1,0,1,4,406,2,999,0,1,1.4,94.465,-41.8,4.864,0,2
113,56,4,1,6,0,1,1,0,4,104,1,999,1,0,-0.1,93.2,-42.0,4.12,0,0
114,39,0,1,6,0,0,0,1,1,135,2,999,0,1,1.4,94.465,-41.8,4.961,0,2
115,41,2,1,6,0,1,0,0,3,854,1,999,0,1,-0.1,93.2,-42.0,4.153,1,0
116,41,4,0,1,0,1,0,0,2,147,1,999,0,1,-0.1,93.2,-42.0,4.076,0,0
118,35,1,1,3,0,0,1,0,1,149,4,999,0,1,1.4,93.918,-42.7,4.962,0,2
119,58,5,1,2,0,0,1,0,4,144,1,999,0,1,-1.8,92.893,-46.2,1.334,0,1
120,25,6,1,5,0,1,0,1,4,394,2,999,0,1,1.4,94.465,-41.8,4.959,0,2
121,35,1,0,2,0,1,0,0,3,523,1,999,1,0,-1.8,92.893,-46.2,1.344,0,1
122,28,7,2,3,0,0,0,0,4,73,1,999,0,1,1.4,93.918,-42.7,4.963,0,2
123,55,1,1,5,0,1,1,0,0,197,3,999,1,0,-1.8,92.893,-46.2,1.25,0,1
126,32,1,1,2,0,1,0,0,2,114,1,999,1,0,-1.8,93.075,-47.1,1.41,0,1
128,75,5,1,0,0,0,0,0,3,109,1,999,1,0,-1.8,93.075,-47.1,1.405,1,1
130,29,4,1,6,0,0,1,0,4,181,2,999,0,1,1.4,93.444,-36.1,4.967,0,2
131,45,4,1,6,0,1,0,0,2,239,1,999,0,1,-1.8,92.893,-46.2,1.327,0,1
132,38,0,0,6,0,0,0,0,1,360,1,999,0,1,-1.8,93.075,-47.1,1.392,1,1
133,24,7,2,5,0,1,0,1,1,314,1,999,0,1,1.1,93.994,-36.4,4.858,0,1
134,41,9,1,5,0,1,0,0,1,984,1,999,0,1,1.4,93.444,-36.1,4.963,0,2
135,58,5,0,3,0,1,0,0,3,663,1,999,0,1,-2.9,92.963,-40.8,1.262,1,2
136,34,0,1,6,0,0,1,1,4,157,2,999,0,1,1.1,93.994,-36.4,4.857,0,1
137,34,0,1,6,0,0,0,0,1,141,2,999,0,1,-1.1,94.767,-50.8,1.05,0,0
138,37,9,0,5,0,0,0,1,4,374,1,999,0,1,1.1,93.994,-36.4,4.856,0,1
139,53,1,0,0,0,0,0,1,4,706,1,999,0,1,1.4,94.465,-41.8,4.959,1,2
140,54,9,0,5,0,1,1,0,3,797,14,999,0,1,1.4,93.918,-42.7,4.961,0,2
141,32,9,0,5,0,1,0,0,3,250,1,999,0,1,-0.1,93.2,-42.0,4.153,0,0
142,42,0,1,3,0,1,0,0,0,311,6,999,0,1,1.4,93.918,-42.7,4.962,0,2
143,28,9,2,5,0,1,0,0,2,63,2,3,1,2,-2.9,92.201,-31.4,0.851,1,2
144,33,7,2,3,0,1,0,1,0,111,1,999,0,1,1.1,93.994,-36.4,4.864,0,1
145,41,1,1,2,0,1,0,0,1,148,2,999,0,1,-1.8,93.075,-47.1,1.405,0,1
146,31,7,1,3,0,0,1,0,2,49,1,999,0,1,-0.1,93.2,-42.0,4.076,0,0
149,40,0,0,6,0,1,0,0,1,257,1,999,0,1,1.4,93.444,-36.1,4.965,0,2
150,82,3,1,0,0,0,0,1,3,279,3,3,2,2,-1.1,94.199,-37.5,0.877,1,0
151,28,1,1,0,0,1,0,0,1,113,1,999,0,1,1.4,93.918,-42.7,4.96,0,2
153,31,10,2,6,0,1,0,0,3,309,1,6,3,2,-1.7,94.215,-40.3,0.835,1,2
154,32,9,2,6,0,1,0,0,4,168,1,999,0,1,1.4,93.444,-36.1,4.965,0,2
155,54,1,1,0,0,1,0,0,3,153,1,999,0,1,1.4,93.444,-36.1,4.963,0,2
156,31,1,1,2,0,0,0,0,4,152,1,999,0,1,1.4,93.918,-42.7,4.963,0,2
159,31,0,2,3,0,1,1,0,4,149,1,999,0,1,-1.8,92.893,-46.2,1.281,0,1
160,32,10,1,3,0,1,0,0,2,640,1,999,0,1,-0.1,93.2,-42.0,4.076,0,0
161,46,0,2,3,0,1,0,0,1,199,2,999,2,0,-1.1,94.767,-50.8,1.048,0,0
162,47,0,2,3,0,0,0,0,1,1114,2,999,0,1,-1.8,92.893,-46.2,1.299,0,1
163,32,0,2,3,0,0,0,0,1,74,2,999,2,0,-1.1,94.767,-50.8,1.048,0,0
165,45,0,1,3,0,1,0,0,0,738,3,6,1,2,-1.1,94.601,-49.5,1.029,1,0
166,32,0,1,6,0,1,0,0,0,374,2,999,0,1,-1.8,92.893,-46.2,1.313,0,1
168,49,7,1,3,0,1,0,1,0,344,2,999,0,1,1.1,93.994,-36.4,4.855,0,1
169,46,0,1,3,0,1,1,1,4,148,10,999,0,1,1.4,94.465,-41.8,4.864,0,2
170,46,1,1,5,0,0,0,0,0,383,1,999,0,1,-1.1,94.767,-50.8,1.028,0,0
171,38,0,1,6,0,1,0,0,3,35,6,999,0,1,1.4,93.444,-36.1,4.965,0,2
174,44,9,1,5,0,0,0,1,0,124,3,999,0,1,1.1,93.994,-36.4,4.864,0,1
175,47,9,1,6,0,1,0,0,4,345,7,999,0,1,1.4,93.444,-36.1,4.964,0,2
176,40,1,1,2,0,1,1,1,4,951,2,999,0,1,1.1,93.994,-36.4,4.858,0,1
177,57,5,2,5,0,1,0,1,1,188,1,999,0,1,1.1,93.994,-36.4,4.857,0,1
179,52,1,1,2,0,0,0,0,0,809,1,999,0,1,1.4,93.444,-36.1,4.966,1,2
180,34,4,1,6,0,1,1,1,4,192,1,999,0,1,-2.9,92.963,-40.8,1.26,0,2
181,42,2,1,6,0,1,0,1,3,154,1,999,0,1,1.1,93.994,-36.4,4.857,0,1
184,56,5,1,3,0,0,0,0,1,317,1,999,0,1,-1.8,92.893,-46.2,1.244,0,1
185,41,4,1,6,0,1,0,0,2,93,1,999,0,1,-1.8,92.893,-46.2,1.327,0,1
186,44,0,1,3,0,1,0,0,0,111,1,999,0,1,1.4,93.444,-36.1,4.964,0,2
187,50,1,1,1,0,1,0,0,1,293,3,3,1,2,-1.8,92.893,-46.2,1.354,1,1
188,54,6,1,3,0,0,0,0,3,119,3,999,0,1,1.4,93.444,-36.1,4.963,0,2
189,51,1,1,1,0,0,0,0,0,393,1,999,0,1,1.4,93.444,-36.1,4.964,0,2
190,30,1,2,2,0,0,0,0,4,30,1,999,0,1,-0.1,93.2,-42.0,4.12,0,0
193,47,7,2,2,0,0,0,0,3,187,2,999,0,1,-0.1,93.2,-42.0,4.153,0,0
194,35,1,1,1,0,1,0,0,0,113,1,999,1,0,-1.8,93.075,-47.1,1.405,0,1
195,58,1,1,2,0,0,0,0,3,64,1,999,1,0,-0.1,93.2,-42.0,4.153,0,0
196,50,1,0,3,0,1,1,0,1,629,2,999,0,1,1.4,93.918,-42.7,4.96,1,2
197,41,9,1,5,0,0,0,1,3,92,1,999,0,1,1.1,93.994,-36.4,4.856,0,1
198,38,9,1,6,0,1,0,0,4,147,1,999,0,1,-1.8,92.893,-46.2,1.334,0,1
199,32,8,2,6,0,0,0,0,2,151,2,999,0,1,-0.1,93.2,-42.0,4.076,0,0
200,21,8,2,3,0,0,0,0,3,259,1,999,1,0,-2.9,92.201,-31.4,0.884,0,2
202,42,6,1,6,0,1,0,0,0,888,3,999,0,1,-0.1,93.2,-42.0,4.021,0,0
203,55,7,1,2,0,0,0,0,4,76,13,999,0,1,1.4,93.444,-36.1,4.964,0,2
204,29,0,2,3,0,1,0,1,1,207,1,6,1,2,-1.1,94.767,-50.8,1.05,0,0
206,53,4,1,0,0,1,0,0,4,63,1,999,0,1,-0.1,93.2,-42.0,4.12,0,0
207,35,4,1,6,0,1,0,0,4,265,2,999,0,1,-0.1,93.2,-42.0,4.12,0,0
208,46,7,1,5,0,1,0,1,3,273,4,999,0,1,1.1,93.994,-36.4,4.856,0,1
212,32,9,1,5,0,0,0,0,3,711,1,999,0,1,1.4,93.918,-42.7,4.962,0,2
213,41,1,0,2,0,1,0,0,0,88,1,999,1,0,-1.8,92.893,-46.2,1.313,0,1
214,28,0,1,6,0,0,0,0,3,72,3,999,1,0,-1.8,92.893,-46.2,1.291,0,1
215,24,7,2,6,0,0,0,0,2,113,6,999,0,1,1.4,93.918,-42.7,4.963,0,2
217,30,0,2,6,0,1,0,0,1,39,1,999,0,1,1.4,93.444,-36.1,4.97,0,2
220,22,8,2,3,0,0,1,0,0,154,2,999,0,1,1.4,93.918,-42.7,4.957,0,2
221,32,2,2,6,0,0,1,0,2,126,1,999,0,1,-0.1,93.2,-42.0,4.076,0,0
225,38,9,2,5,0,1,0,0,1,202,3,999,1,0,-1.8,92.893,-46.2,1.244,0,1
226,59,5,1,0,0,0,0,1,3,353,4,999,0,1,-1.8,93.075,-47.1,1.453,0,1
227,31,1,1,0,0,1,0,1,4,159,2,999,0,1,1.1,93.994,-36.4,4.857,0,1
228,76,5,2,0,0,0,0,0,1,347,4,6,1,2,-3.4,92.649,-30.1,0.715,1,0
233,33,0,2,6,0,1,0,0,2,686,4,999,0,1,1.4,93.444,-36.1,4.963,1,2
234,59,5,1,0,0,1,0,0,0,94,1,999,0,1,1.4,93.444,-36.1,4.963,0,2
235,28,1,1,2,0,1,0,0,1,225,3,999,0,1,1.4,93.918,-42.7,4.96,0,2
236,33,1,2,1,0,1,0,0,0,474,2,999,0,1,-1.8,92.893,-46.2,1.313,0,1
238,41,7,1,3,0,0,0,0,4,377,6,999,0,1,-1.8,92.843,-50.0,1.778,1,1
241,35,9,1,5,0,0,0,0,2,126,4,999,0,1,1.4,93.918,-42.7,4.968,0,2
243,53,4,1,6,0,0,0,0,1,313,4,999,0,1,1.4,93.444,-36.1,4.965,0,2
244,35,9,2,5,0,1,0,0,2,141,1,999,0,1,-1.8,92.893,-46.2,1.327,0,1
246,34,3,2,6,0,0,0,1,2,267,2,999,0,1,1.4,94.465,-41.8,4.961,0,2
247,42,0,1,2,0,0,0,1,1,406,3,999,1,0,-1.8,93.075,-47.1,1.405,0,1
248,36,6,1,2,0,1,1,0,2,151,3,999,0,1,-0.1,93.2,-42.0,4.076,0,0
249,44,0,1,3,0,0,0,1,4,228,3,999,0,1,1.1,93.994,-36.4,4.856,0,1
250,50,0,0,6,0,1,0,0,3,73,2,999,0,1,1.4,93.444,-36.1,4.965,0,2
251,36,0,1,6,0,1,0,0,0,355,1,999,0,1,-3.4,92.379,-29.8,0.773,0,0
252,27,9,1,5,0,0,0,0,2,102,9,999,0,1,1.4,93.918,-42.7,4.963,0,2
254,25,9,2,6,0,1,1,1,1,35,6,999,0,1,1.4,94.465,-41.8,4.96,0,2
255,29,4,1,6,0,1,1,0,3,116,2,999,0,1,1.4,93.444,-36.1,4.966,0,2
256,44,0,1,3,0,0,0,1,4,83,3,999,0,1,1.1,93.994,-36.4,4.856,0,1
258,30,0,2,3,0,1,0,0,4,605,1,999,0,1,1.4,93.918,-42.7,4.963,0,2
259,37,6,1,6,0,1,1,0,4,585,2,999,0,1,1.4,93.444,-36.1,4.967,0,2
260,57,9,1,2,0,0,0,0,3,94,1,999,0,1,1.4,93.918,-42.7,4.961,0,2
261,32,9,1,5,0,1,0,0,2,255,1,999,0,1,1.4,93.918,-42.7,4.963,1,2
262,54,0,1,5,0,0,0,0,3,1868,2,10,1,2,-1.1,94.767,-50.8,1.035,1,0
263,58,1,1,2,0,1,0,0,1,846,1,999,0,1,1.4,93.444,-36.1,4.97,1,2
266,27,10,2,6,0,0,0,1,4,404,2,999,0,1,1.4,94.465,-41.8,4.864,0,2
267,30,10,1,3,0,1,0,0,3,383,3,999,0,1,1.4,93.918,-42.7,4.961,0,2
268,42,1,1,0,0,0,0,1,4,51,1,999,0,1,1.1,93.994,-36.4,4.859,0,1
269,48,3,1,3,0,0,0,1,3,87,1,999,0,1,1.4,94.465,-41.8,4.864,0,2
270,35,0,2,6,0,0,0,0,1,167,2,999,0,1,1.4,93.444,-36.1,4.97,0,2
273,30,7,1,3,0,0,0,1,1,151,3,999,0,1,1.4,94.465,-41.8,4.865,0,2
274,28,9,2,3,0,1,1,0,2,48,4,999,1,0,-1.8,93.075,-47.1,1.41,0,1
277,30,0,2,6,0,1,0,0,3,288,1,999,0,1,-0.1,93.2,-42.0,4.153,0,0
278,27,8,2,2,0,1,0,0,4,111,1,999,0,1,-1.7,94.027,-38.3,0.9,0,2
279,23,2,1,6,0,1,0,0,2,87,1,999,0,1,1.4,93.444,-36.1,4.964,0,2
282,31,6,2,6,0,0,0,0,1,209,1,999,2,0,-1.7,94.027,-38.3,0.898,0,2
283,43,6,1,2,0,0,0,1,4,173,2,999,0,1,1.1,93.994,-36.4,4.858,0,1
284,52,9,1,3,0,1,0,1,1,503,2,999,0,1,1.1,93.994,-36.4,4.857,0,1
286,24,1,1,2,0,1,1,1,0,101,6,999,0,1,1.1,93.994,-36.4,4.855,0,1
287,35,1,2,1,0,0,0,0,2,370,1,999,1,0,-0.1,93.2,-42.0,4.076,0,0
288,59,9,1,5,0,0,0,0,2,1207,4,999,1,0,-1.7,94.055,-39.8,0.742,1,2
290,37,1,2,2,0,0,0,1,4,211,2,999,0,1,1.1,93.994,-36.4,4.857,0,1
291,46,0,1,5,0,0,0,0,0,609,1,999,1,0,-1.8,93.075,-47.1,1.405,0,1
292,26,9,2,6,0,1,0,0,0,806,3,6,2,2,-1.7,94.215,-40.3,0.861,1,2
293,40,4,1,6,0,1,0,0,2,77,6,999,0,1,1.4,93.444,-36.1,4.963,0,2
295,40,4,1,6,0,1,0,0,3,459,1,999,0,1,-1.8,92.893,-46.2,1.344,0,1
296,29,0,2,6,0,1,1,1,4,266,2,999,0,1,1.1,93.994,-36.4,4.859,0,1
297,28,1,2,2,0,1,0,0,2,225,1,999,1,0,-1.8,92.893,-46.2,1.266,0,1
299,28,10,2,6,0,1,0,0,1,434,1,999,0,1,-1.8,92.893,-46.2,1.244,0,1
300,33,9,1,5,0,0,0,1,2,191,4,999,0,1,1.1,93.994,-36.4,4.86,0,1
301,56,2,1,6,0,1,1,1,2,82,1,999,0,1,1.4,94.465,-41.8,4.961,0,2
302,57,5,1,2,0,0,0,0,3,388,4,999,0,1,1.4,93.444,-36.1,4.965,1,2
304,39,6,1,6,0,0,0,1,4,17,2,999,0,1,1.1,93.994,-36.4,4.858,0,1
307,25,0,2,6,0,0,0,1,4,188,2,999,0,1,1.4,94.465,-41.8,4.864,0,2
309,48,0,1,6,0,1,0,0,4,288,1,999,0,1,-0.1,93.2,-42.0,4.12,0,0
310,32,0,2,6,0,1,0,0,2,206,1,999,0,1,1.4,93.444,-36.1,4.964,0,2
311,48,0,1,6,0,1,1,0,0,154,2,999,0,1,1.4,93.918,-42.7,4.963,0,2
313,41,0,0,3,0,0,0,1,3,293,2,999,0,1,1.1,93.994,-36.4,4.857,0,1
315,29,0,2,6,0,1,0,0,1,215,1,999,0,1,-1.8,93.369,-34.8,0.639,1,1
316,28,1,2,3,0,1,0,1,1,102,2,999,0,1,1.4,94.465,-41.8,4.865,0,2
317,30,0,1,6,0,0,0,1,3,178,2,999,0,1,1.1,93.994,-36.4,4.857,0,1
318,54,0,1,6,0,1,0,1,2,461,3,999,0,1,1.1,93.994,-36.4,4.855,0,1
320,38,1,1,2,0,0,0,0,4,204,1,11,1,2,-1.8,92.893,-46.2,1.281,0,1
321,46,3,0,1,0,1,0,1,3,143,8,999,0,1,1.4,94.465,-41.8,4.864,0,2
322,38,0,0,6,0,0,0,1,0,50,3,999,0,1,1.4,94.465,-41.8,4.959,0,2
323,38,7,1,3,0,0,0,0,2,81,1,999,0,1,1.4,93.918,-42.7,4.968,0,2
324,33,1,1,3,0,1,0,1,4,233,1,999,0,1,1.1,93.994,-36.4,4.856,0,1
325,25,0,1,6,0,0,0,1,0,56,1,999,0,1,1.1,93.994,-36.4,4.864,0,1
328,57,7,1,3,0,1,0,0,1,126,2,999,0,1,-1.8,92.893,-46.2,1.244,0,1
329,36,0,2,6,0,0,0,0,4,142,1,999,0,1,1.4,93.444,-36.1,4.965,0,2
330,54,0,1,6,0,0,0,0,2,9,5,999,0,1,1.4,93.918,-42.7,4.968,0,2
331,25,6,2,6,0,0,0,1,3,247,3,999,0,1,1.1,93.994,-36.4,4.856,0,1
332,41,2,1,6,0,0,0,1,4,130,4,999,0,1,1.1,93.994,-36.4,4.856,0,1
333,54,4,1,6,0,1,0,0,3,336,1,999,0,1,-1.8,93.075,-47.1,1.405,0,1
336,40,0,1,3,0,0,0,1,1,160,3,999,0,1,1.1,93.994,-36.4,4.857,0,1
338,81,5,1,0,0,0,0,0,1,617,2,999,0,1,-1.8,92.893,-46.2,1.354,1,1
339,43,9,0,5,0,1,0,0,1,143,1,999,0,1,-1.8,92.893,-46.2,1.264,0,1
340,34,0,1,3,0,1,0,0,4,238,1,6,2,2,-1.7,94.055,-39.8,0.704,1,2
341,42,9,1,3,0,1,0,0,3,188,1,999,0,1,1.4,93.444,-36.1,4.968,0,2
342,30,7,1,1,0,0,0,0,3,154,2,999,0,1,-0.1,93.2,-42.0,4.153,0,0
345,42,1,1,2,0,0,0,0,3,632,5,10,1,2,-1.8,92.893,-46.2,1.344,0,1
351,52,9,1,2,0,1,0,0,0,102,1,999,0,1,-0.1,93.2,-42.0,4.021,0,0
352,49,0,1,6,0,1,0,1,1,212,1,999,0,1,1.1,93.994,-36.4,4.857,0,1
353,49,9,1,5,0,1,0,1,3,57,1,999,0,1,1.1,93.994,-36.4,4.856,0,1
355,32,2,1,6,0,0,0,0,2,73,4,999,0,1,-0.1,93.2,-42.0,4.076,0,0
356,27,7,1,3,0,0,0,0,2,184,3,999,0,1,1.4,93.918,-42.7,4.963,0,2
357,44,0,0,3,0,1,0,0,3,173,8,999,1,0,-1.8,92.893,-46.2,1.291,0,1
358,33,0,2,6,0,0,0,0,4,6,7,999,0,1,-1.8,92.893,-46.2,1.281,0,1
359,30,7,1,2,0,0,0,0,3,70,2,999,0,1,1.4,93.918,-42.7,4.961,0,2
360,32,0,2,6,0,1,0,0,2,96,1,999,0,1,1.4,93.918,-42.7,4.958,0,2
362,49,10,1,3,0,1,0,0,4,98,1,999,0,1,1.4,93.918,-42.7,4.963,0,2
364,48,9,1,5,0,1,0,0,0,336,8,999,0,1,1.4,93.444,-36.1,4.964,1,2
365,42,1,1,0,0,0,0,1,4,456,2,999,0,1,1.1,93.994,-36.4,4.857,0,1
366,28,0,1,3,0,1,0,0,4,293,3,999,0,1,-1.8,92.893,-46.2,1.334,0,1
368,23,4,2,6,0,1,0,0,3,314,2,999,0,1,1.4,93.918,-42.7,4.961,0,2
369,36,1,1,1,0,1,0,1,4,167,1,999,0,1,1.1,93.994,-36.4,4.858,0,1
372,49,10,1,0,0,1,0,0,4,155,2,999,0,1,1.4,93.444,-36.1,4.964,0,2
373,36,1,1,2,0,1,0,0,1,80,3,999,0,1,1.4,93.918,-42.7,4.962,0,2
374,47,4,0,0,0,0,0,1,0,241,2,999,0,1,1.1,93.994,-36.4,4.855,0,1
378,35,0,1,6,0,0,0,0,2,322,3,999,0,1,-1.8,92.893,-46.2,1.27,0,1
379,37,0,0,3,0,0,0,1,2,51,10,999,0,1,1.1,93.994,-36.4,4.86,0,1
